47.366251	8.540965
47.366425	8.541909
47.366745	8.541362
47.367166	8.541416
47.367108	8.541727
47.367588	8.541770
47.368089	8.541834
47.368816	8.541877
47.369506	8.541898
47.369927	8.541877
47.369971	8.541072
47.369818	8.540654
47.369767	8.540118
47.369687	8.539378
47.369861	8.539078
47.370093	8.539690
47.370740	8.538950
47.370515	8.538371
47.370203	8.537759
47.369745	8.536965
47.369476	8.536418
47.369948	8.535699
47.370442	8.534894
47.371299	8.534476
47.371321	8.536075
47.371779	8.536719
47.372309	8.537674
47.372403	8.538371
47.373108	8.538382
47.373137	8.537631
47.373152	8.536966
47.373806	8.537073
47.372084	8.539626
47.372760	8.540699
47.373399	8.540699
47.367397	8.544171
47.368138	8.543763
47.368058	8.544696
47.368654	8.544042
47.369097	8.543527
47.370114	8.543420
47.370768	8.543044
47.371814	8.542958
47.371876	8.543816
47.371313	8.544159
47.370419	8.544443
47.370143	8.544819
47.369787	8.544427
47.369128	8.545013
47.368925	8.545308
